,state_province,latitude,longitude
0,Unknow,,
1,Pennsylvania,40.9699889,-77.7278831
2,Texas,31.2638905,-98.5456116
3,Utah,39.4225192,-111.714358
4,Nevada,39.5158825,-116.8537227
5,Iowa,41.9216734,-93.3122705
6,Virginia,37.1232245,-78.4927721
7,Indiana,40.3270127,-86.1746933
8,Colorado,38.7251776,-105.607716
9,Ohio,40.2253569,-82.6881395
10,Indianapolis,39.7683331,-86.1583502
11,New York,40.7127281,-74.0060152
12,California,36.7014631,-118.755997
13,Illinois,40.0796606,-89.4337288
14,New Hampshire,43.4849133,-71.6553992
15,North Carolina,35.6729639,-79.0392919
16,South Carolina,33.6874388,-80.4363743
17,Washington,38.8950368,-77.0365427
18,Missouri,38.7604815,-92.5617875
19,North Dakota,47.6201461,-100.540737
20,Michigan,43.6211955,-84.6824346
21,Florida,27.7567667,-81.4639835
22,Georgia,32.3293809,-83.1137366
23,Maine,45.709097,-68.8590201
24,Quebec,52.4760892,-71.8258668
25,Ontario,50.000678,-86.000977
26,Nova Scotia,45.1960403,-63.1653789
27,British Columbia,55.001251,-125.002441
28,Alberta,55.001251,-115.002136
29,Manitoba,55.001251,-97.001038
30,New Brunswick,46.500283,-66.750183
31,Saskatchewan,55.5321257,-106.141224
32,Newfoundland and Labrador,53.8217327,-61.2295532
33,Prince Edward Island,46.3355508,-63.1466676
34,Yukon,63.000147,-136.002502
35,Buenos Aires,-34.6075682,-58.4370894
36,Entre Ríos,-31.6252842,-59.3539578
37,Salta,-25.1076701,-64.3494964
38,Córdoba,37.8845813,-4.7760138
39,Mendoza,-34.787093049999996,-68.43818677312292
40,Santa Fé,35.6876096,-105.938456
41,Santiago Del Estero,-27.6431016,-63.5408542
42,Misiones,-26.737224,-54.4315257
43,Catamarca,-27.1910825,-67.105374
44,Formosa,23.5983227,120.83537694479215
45,Jujuy,-23.3161458,-65.7595288
46,La Rioja,42.2814642,-2.482804975070473
47,La Pampa,-37.2314643,-65.3972948
48,San Juan,18.465299,-66.116666
49,San Luis,38.6280278,-90.1910154
50,Tucumán,-26.5643582,-64.882397
